context,mean_delta_across_values,left_context
атмосфера,0.20310204533828605,В тот момент
атрибутику,0.3324468290454337,Клиенты воровали из ресторана
бампера,0.22563032129279828,Ему удалось вскрыть банку об острый край
банке,0.347478318441182,У моего отца был счёт в швейцарском
бант,0.18758190343741807,Очень хочется заплести
баранины,0.20138444455578972,В котёл бросают куски
барса,0.10638899595791888,На запись голоса
бездетным,0.03482850736067455,Ее сын Гриша умер
бросить,0.005083537945587222,Можно будет
вагоны,0.20199926602135235,"Музыканты играли на похоронах, разгружали"
вить,0.04602084372850116,Дрозды и сковрцы начали
вол,0.17399284837423,Что может сделать самый сильный
врач,0.15632048060917025,Здесь потребуется
всей,0.2433556441692203,И не надо ставить это целью
даст,0.054676342990377165,Применение микросхемы
дом,0.0021186931521916075,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.10550694547133878,С нескрываемой
есть,0.010334903632665463,Однако здесь
желает,0.07791571480102283,"Тому, кто"
жирность,0.2553271262820368,В качестве примера приводится
жить,0.11238832388268662,Он признаёт право каждого
журчание,0.14482978219051204,Вспоминая
заварил,0.17009359523736745,"Он вскрыл пачку сухарей,"
заявление,0.22339665018339724,На Ольгу Васильевну было написано
злило,0.101393616416017,Я знал: их особенно
злые,0.19332432402974978,Очень тогда
зоркий,0.08333319926845376,Создать настоящие шедевры вам помогут
излишества,0.04709344190693462,Наши власти позволяют себе
иной,0.0869340483155411,У нас в Волгограде многие придерживаются
испечь,0.007869260168195499,Ей никак не суметь
количество,0.002423054908582743,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.034875949670842184,В вопросе послышался упрёк
кораблей,0.07313701938320238,"За углом ― Морской музей, с бесчисленными моделями"
который,0.032684758561473806,"Мне нравится сын коллеги,"
красоты,0.21351512349539237,Душа требовала
крен,0.380082826318111,Наше правительство сделало
крупу,0.03804042588227112,А промывать манную
крыши,0.2076671775958376,Каждое утро на самый верх
купон,0.3809084747351404,Убедительно просим вас разборчиво заполнять
лед,0.11133410202237214,На болотах оставался ещё
лес,0.029184121983368918,Дорога ведет в глухой
лестнице,0.2543462614477326,На ведущей вниз
летела,0.21491853285793475,Когда она в самолёте
лис,0.2516981428501376,"Там, недалеко от кухонной двери, сидел"
лом,0.1960606753470361,"В багажнике были лопата,"
лопоухая,0.22821050022590428,Старуха была страшной --
мазь,0.010465827912860035,Врач прописал заживляющую
микробы,0.3213697791908889,В бассейне
миссионеры,0.25780834660636104,В резервациях
молоко,0.26576951266425763,"Мама брала меня с собой, и мы, сдав"
мопед,0.19510029193131553,Приблизительно в центре тайги
мужу,0.15857294460573165,Не поручайте
мяли,0.1070942135098036,В деревнях по-прежнему
напряжение,0.2273298231237261,"Твоё тело расслабляется, и исчезает"
неопытным,0.1950970454807639,Он был очень
неявное,0.22491233947711678,В речи учёного прозвучало
новой,0.16722883724513368,Тема эта в то время была
ноев,0.14999557318596793,"Существует легенда, что"
ножа,0.23696193604441687,Он ловко поддел концом
нюх,0.21617629172376038,У директора школы был тонкий
обгорели,0.25109871553852114,У Пашки
обнаружена,0.044742965200856695,В конверте вместе с деньгами была
обстановка,0.004953341163471482,Стала стабильнее экономическая и политическая
обществе,0.029847084983369094,В современном
одинаковые,0.07144860518438619,Педагог предъявляет
осы,0.17117168252644377,В сюжете этого фильма какие-то
отдельная,0.18520312262140126,Ирине досталась
открытая,0.0020303499872866147,На газовой плите стояла
пахучим,0.1355493882325113,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.09838460770708173,Ненужный коврик из твёрдой
повторили,0.0658404520497951,Что ты хочешь чтобы тебе
подвинул,0.21450604579626587,"Журналист взял карандаш,"
подруга,0.26673812921556844,У мамы есть
покрывало,0.016544997411761013,Отвернув цветастое
полный,0.04678173706492561,"У тебя впереди замечательный день,"
получает,0.20380574511796246,Этот студент
пополнела,0.23419006737396286,"Она почти не изменилась, только слегка"
прежняя,0.2660877230350674,Перед ним снова была
противник,0.020728206072576066,"Товарищ генерал,"
раритетных,0.25945118634685116,"Считается, что коллекционирование"
растяжение,0.21445152445314386,"Один футболист, который получил"
расходу,0.2614391972758377,Судя по огромному
реки,0.18235961879100068,"Город, раскинувшийся вдоль"
ремешок,0.2434165135940759,Под рукавом рубашки виднелся тонкий
розетки,0.10914170736822504,На вторичном рынке жилья
росли,0.037034194581208504,Телята быстро
рот,0.23260183891079575,Ваня раскрыл было
рубильник,0.2533038727563042,В мои обязанности входило утром включить
русалки,0.16853063117280784,И на берегу озера тогда появляются
рыбу,0.24472928796580118,"Наживка, на которую он ловил"
рыть,0.022222261139672062,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.02777756975553691,Когда мне хотелось
семья,0.2185697098855194,"Взяв с собой фотоаппарат, вся"
снег,0.08211494422212802,Мне было лень идти на стоянку и сметать
собака,0.286599691053863,От смерти его спасла
сонату,0.19060559906690658,"По воскресеньям музыканты, исполнявшие"
сора,0.23551263248476798,Он умел из любого
соринку,0.2727023439465613,Если я еще увижу здесь хоть
союзу,0.1527952990433442,Количество денег в обороте выросло благодаря
спать,0.036976698638773155,Он стал плохо
специалист,0.2650717053471035,Работы выполняет
спокойный,0.13708763363756069,"Зачем ему звонить, если откликается"
стога,0.20014471435451933,"Я слезал, щупал"
страницы,0.018912877052378773,Этот роман захватывает читателя с первой
страшных,0.2135285342265313,Автор принадлежит к числу последних свидетелей
сук,0.04165329352420253,В темноте Иван задел острый
талый,0.12260052474402765,"Олень бродил среди берёз, жевал"
телефон,0.007004048193863358,Причиной аварии был мобильный
техосмотра,0.25075337126828473,После завершения
тонким,0.18441894890586583,Чтобы придать объем
трепало,0.2886537880676592,В лесу ветром
углу,0.18636080705959576,В каждом
узкой,0.2893283419396136,Власть судов была такой
узнал,0.2956793005274201,Володя каким-то образом
уйма,0.1809791763971291,За два года накопилась
урон,0.22993919911068564,"Думаю, большой"
урчала,0.30126668131411394,"Елена сидела в кресле, молодая Мурка"
ускользать,0.006803296842245877,От внимания наблюдателя не должна
установить,0.11227702257570178,Государством предлагается
ухо,0.0833058778367988,"Сделав мне знак помолчать, он приложил"
фарш,0.16538940745908856,"Она успевала убраться, разморозить"
хаки,0.2405900783878897,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
хмурила,0.22358707075811812,Она с досадой
центре,0.08734081538741915,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.2449328658100023,Я сделала
шлейф,0.029018912392079394,За министром труда тянется целый
штатив,0.2539057334008197,Мы установили камеру на новый
юлин,0.04044613471465606,Ей хотелось выплеснуть чай на бежевый
юный,0.07337534295154828,На привале у озера
ярых,0.1685456127599073,"Покуда я нахожусь у власти, я буду предметом"
