context,mean_delta_across_values,left_context
атмосфера,0.031249694881673472,В тот момент
барса,0.13982979264094575,На запись голоса
бросить,0.21047637717570025,Можно будет
вить,0.15403258350115756,Дрозды и сковрцы начали
вол,0.0022436448754180587,Что может сделать самый сильный
врач,0.006812380550095993,Здесь потребуется
всей,0.005595062308165857,И не надо ставить это целью
входить,0.0057265933424945755,Какие главные лекарства должны
даст,0.1051448563640753,Применение микросхемы
есть,0.08476789735147709,Однако здесь
желает,0.18007489233441135,"Тому, кто"
заварил,0.16619556368250551,"Он вскрыл пачку сухарей,"
заставить,0.10094832253021103,Но четыре года я не мог себя
злило,0.0855573897962103,Я знал: их особенно
злые,0.13777799698911983,Очень тогда
излишества,0.09275014374607808,Наши власти позволяют себе
испечь,0.22283146298376927,Ей никак не суметь
командиру,0.013278480929396673,В вопросе послышался упрёк
красоты,0.007870259720126909,Душа требовала
крыши,0.04210012559057691,Каждое утро на самый верх
лед,0.009596970990108646,На болотах оставался ещё
летела,0.17658541363848065,Когда она в самолёте
лопоухая,0.005408462101006323,Старуха была страшной --
мопед,0.16770110648710773,Приблизительно в центре тайги
мяли,0.15203780272675207,В деревнях по-прежнему
неопытным,0.05937254567353338,Он был очень
ножа,0.0037313607703497544,Он ловко поддел концом
обнаружена,0.010998564281336266,В конверте вместе с деньгами была
одинаковые,0.03328804564351426,Педагог предъявляет
повторили,0.1591126669706601,Что ты хочешь чтобы тебе
подвинул,0.036246015450365335,"Журналист взял карандаш,"
покрывало,0.1425724115872437,Отвернув цветастое
полный,0.0734443735600738,"У тебя впереди замечательный день,"
получает,0.1547921655539662,Этот студент
пополнела,0.12079825101813443,"Она почти не изменилась, только слегка"
прежняя,0.004598348307589216,Перед ним снова была
пригрозили,0.14978912542566528,Когда родители
противник,0.23434712795971774,"Товарищ генерал,"
раритетных,0.006046330509582795,"Считается, что коллекционирование"
ремешок,0.002883372929128152,Под рукавом рубашки виднелся тонкий
розетки,0.12403006913331223,На вторичном рынке жилья
росли,0.07270325183947048,Телята быстро
русалки,0.0030530323797174357,И на берегу озера тогда появляются
рыбу,0.006927305200120881,"Наживка, на которую он ловил"
рыть,0.17580869635178165,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.19100121964444272,Когда мне хотелось
сечь,0.08091756068518557,"Собаку, виновницу случившегося, приказали"
собака,0.00510221965742959,От смерти его спасла
сора,0.008720928486124265,Он умел из любого
спать,0.04838855841954942,Он стал плохо
трепало,0.1663702571330097,В лесу ветром
углу,0.011537748960421897,В каждом
узнал,0.21608469022466825,Володя каким-то образом
уйти,0.17069976375539714,Если мы позволим этим людям
урчала,0.219954574688057,"Елена сидела в кресле, молодая Мурка"
ускользать,0.006083703843310962,От внимания наблюдателя не должна
установить,0.11196568597580296,Государством предлагается
ухо,0.00806515203858983,"Сделав мне знак помолчать, он приложил"
хмурила,0.16174128118049044,Она с досадой
юный,0.05897749672416215,На привале у озера
