context,mean_delta_across_values,left_context
атмосфера,0.10410796876181805,В тот момент
атрибутику,0.16711272919583994,Клиенты воровали из ресторана
бампера,0.1347993840915259,Ему удалось вскрыть банку об острый край
банке,0.1737391602305047,У моего отца был счёт в швейцарском
бант,0.16418177430547157,Очень хочется заплести
баранины,0.09634849404182383,В котёл бросают куски
барса,0.029822530966102278,На запись голоса
бездетным,0.019628746097190706,Ее сын Гриша умер
бросить,0.005153766836834749,Можно будет
вагоны,0.20431842378777545,"Музыканты играли на похоронах, разгружали"
вить,0.025758171036345454,Дрозды и сковрцы начали
вол,0.08665948579489101,Что может сделать самый сильный
врач,0.07816429949312746,Здесь потребуется
всей,0.15481314956321082,И не надо ставить это целью
даст,0.010264983164381744,Применение микросхемы
дом,0.3280021374208784,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.05729706920666521,С нескрываемой
желает,0.01348037060415327,"Тому, кто"
жирность,0.12955362845696383,В качестве примера приводится
жить,0.15015504440786306,Он признаёт право каждого
журчание,0.15378132892059906,Вспоминая
заварил,0.013354727267646778,"Он вскрыл пачку сухарей,"
заявление,0.129719478451795,На Ольгу Васильевну было написано
злые,0.016702029656403865,Очень тогда
зоркий,0.10506619287015877,Создать настоящие шедевры вам помогут
излишества,0.036553652507409044,Наши власти позволяют себе
иной,0.21988423268777638,У нас в Волгограде многие придерживаются
испечь,0.004644859246807392,Ей никак не суметь
количество,0.33280617187375944,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.02725798254124533,В вопросе послышался упрёк
кораблей,0.03633242224936186,"За углом ― Морской музей, с бесчисленными моделями"
который,0.0765874137975591,"Мне нравится сын коллеги,"
красоты,0.150205100631318,Душа требовала
крен,0.22573726267060568,Наше правительство сделало
крупу,0.01867580947963876,А промывать манную
крыши,0.09071721220664504,Каждое утро на самый верх
купон,0.23502854079700905,Убедительно просим вас разборчиво заполнять
лед,0.05566662279392259,На болотах оставался ещё
лес,0.31874657572906856,Дорога ведет в глухой
лестнице,0.20094283672530036,На ведущей вниз
летела,0.035677917851096246,Когда она в самолёте
лис,0.12577608263090057,"Там, недалеко от кухонной двери, сидел"
лом,0.0971006640284167,"В багажнике были лопата,"
лопоухая,0.11920259340108091,Старуха была страшной --
мазь,0.3193635618128603,Врач прописал заживляющую
микробы,0.1660699589892657,В бассейне
миссионеры,0.15799639295257464,В резервациях
молоко,0.20616625622443074,"Мама брала меня с собой, и мы, сдав"
мужу,0.15234003456963094,Не поручайте
напряжение,0.01791780353833783,"Твоё тело расслабляется, и исчезает"
неопытным,0.05465173995063116,Он был очень
неявное,0.11347641894318918,В речи учёного прозвучало
новой,0.058539421573933714,Тема эта в то время была
ноев,0.08074491302976558,"Существует легенда, что"
ножа,0.1497573782095292,Он ловко поддел концом
нюх,0.10808819828475462,У директора школы был тонкий
обгорели,0.024450642230739433,У Пашки
обнаружена,0.018265328273200602,В конверте вместе с деньгами была
обстановка,0.0038372211477702557,Стала стабильнее экономическая и политическая
обществе,0.020629813689587318,В современном
одинаковые,0.2046218688800455,Педагог предъявляет
осы,0.1322212919223574,В сюжете этого фильма какие-то
отдельная,0.09259974202026146,Ирине досталась
