context,mean_delta_across_values,left_context
атмосфера,0.21014785079934203,В тот момент
атрибутику,0.11073122380674459,Клиенты воровали из ресторана
бампера,0.405354856304647,Ему удалось вскрыть банку об острый край
банке,0.12279633178662593,У моего отца был счёт в швейцарском
бант,0.12306290992194065,Очень хочется заплести
баранины,0.3250161783757561,В котёл бросают куски
барса,0.3544164025621294,На запись голоса
бездетным,0.2240989431695002,Ее сын Гриша умер
бросить,0.028459569215834618,Можно будет
вагоны,0.6179329529695877,"Музыканты играли на похоронах, разгружали"
вить,0.3102496516264029,Дрозды и сковрцы начали
вол,0.013165088757618439,Что может сделать самый сильный
врач,0.18025775939645883,Здесь потребуется
всей,0.23235850536953132,И не надо ставить это целью
даст,0.1711859388398671,Применение микросхемы
дом,0.11110110802496038,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.31328024111913294,С нескрываемой
есть,0.25060433368759666,Однако здесь
желает,0.12425043850275891,"Тому, кто"
жирность,0.3354424626571773,В качестве примера приводится
жить,0.16594626748362998,Он признаёт право каждого
журчание,0.19560230155213865,Вспоминая
заварил,0.5309863019101925,"Он вскрыл пачку сухарей,"
заявление,0.35378450126517463,На Ольгу Васильевну было написано
злило,0.22902448033320133,Я знал: их особенно
злые,0.4891703703775841,Очень тогда
зоркий,0.27347789840161485,Создать настоящие шедевры вам помогут
излишества,0.2974884415843411,Наши власти позволяют себе
иной,0.179597209159022,У нас в Волгограде многие придерживаются
испечь,0.006675001446405729,Ей никак не суметь
количество,0.508364203953951,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.24923389950674016,В вопросе послышался упрёк
кораблей,0.16125133795464464,"За углом ― Морской музей, с бесчисленными моделями"
который,0.3794113099534701,"Мне нравится сын коллеги,"
красоты,0.2421407243866139,Душа требовала
крен,0.38052979553658206,Наше правительство сделало
крупу,0.2741237236075039,А промывать манную
крыши,0.43902301567565116,Каждое утро на самый верх
купон,0.5939164999484231,Убедительно просим вас разборчиво заполнять
лед,0.14882237845012677,На болотах оставался ещё
лес,0.44289557421425174,Дорога ведет в глухой
лестнице,0.24610821125737178,На ведущей вниз
летела,0.19340954663573737,Когда она в самолёте
летом,0.24631249825444837,Возможности этих перемен будут обсуждаться в Париже
лис,0.015593157699706093,"Там, недалеко от кухонной двери, сидел"
лом,0.2486588402729568,"В багажнике были лопата,"
лопоухая,0.23379169116802198,Старуха была страшной --
мазь,0.014983716866361727,Врач прописал заживляющую
микробы,0.1638703327338845,В бассейне
миссионеры,0.271292780912532,В резервациях
молоко,0.2868905327452962,"Мама брала меня с собой, и мы, сдав"
мопед,0.18992496069856535,Приблизительно в центре тайги
мужу,0.2656059495017314,Не поручайте
мяли,0.10980623795667195,В деревнях по-прежнему
называют,0.12525907004020637,В числе возможных кандидатов
напряжение,0.43471267300681465,"Твоё тело расслабляется, и исчезает"
неопытным,0.1668013851533279,Он был очень
неявное,0.24890645777122208,В речи учёного прозвучало
новой,0.15821812682659467,Тема эта в то время была
ноев,0.2360100452448565,"Существует легенда, что"
ножа,0.21363984075727005,Он ловко поддел концом
нюх,0.15220875984970778,У директора школы был тонкий
обгорели,0.25833866389520926,У Пашки
обнаружена,0.1642759622980863,В конверте вместе с деньгами была
обстановка,0.2730979850162966,Стала стабильнее экономическая и политическая
обществе,0.32530518738025743,В современном
одинаковые,0.438646231036611,Педагог предъявляет
омоет,0.3487517657950319,"Я сказал, что русский солдат"
орехового,0.06810726805352334,Старый шкаф
осы,0.266566315732576,В сюжете этого фильма какие-то
отдельная,0.16154284083530665,Ирине досталась
открытая,0.012602009409586433,На газовой плите стояла
пахучим,0.2543485863344425,"Я люблю салат из картошки с зеленью, заправленный"
