context,mean_delta_across_values,left_context
атмосфера,0.031195797123734242,В тот момент
баранины,0.026177041630387712,В котёл бросают куски
барса,0.17919160410522525,На запись голоса
бросить,0.1644527788309653,Можно будет
вить,0.21441311980378577,Дрозды и сковрцы начали
вол,0.0028852445568700283,Что может сделать самый сильный
врач,0.04139578133305091,Здесь потребуется
всей,0.013888760257184945,И не надо ставить это целью
входить,0.010115668908590067,Какие главные лекарства должны
даст,0.1490900563995429,Применение микросхемы
есть,0.21964880285209779,Однако здесь
желает,0.04813375600747354,"Тому, кто"
журчание,0.12128603619236356,Вспоминая
заварил,0.17735959388107408,"Он вскрыл пачку сухарей,"
заставить,0.3908203721138582,Но четыре года я не мог себя
злило,0.13477311986702248,Я знал: их особенно
злые,0.1465697546267139,Очень тогда
излишества,0.10039448184155633,Наши власти позволяют себе
испечь,0.014764157473237798,Ей никак не суметь
командиру,0.19831887924177768,В вопросе послышался упрёк
который,0.003121991239896995,"Мне нравится сын коллеги,"
красоты,0.229963389567378,Душа требовала
крыши,0.06200769189980235,Каждое утро на самый верх
лед,0.010487256163719996,На болотах оставался ещё
лес,0.005900479010594122,Дорога ведет в глухой
летела,0.17703661727239203,Когда она в самолёте
лис,0.2299226082556585,"Там, недалеко от кухонной двери, сидел"
лопоухая,0.007820749881879474,Старуха была страшной --
мопед,0.23719247250889647,Приблизительно в центре тайги
мужу,0.0030240901272894066,Не поручайте
мяли,0.07916077740607322,В деревнях по-прежнему
называют,0.047268324361259426,В числе возможных кандидатов
неопытным,0.05745551939867353,Он был очень
новой,0.07605300834573123,Тема эта в то время была
ноев,0.04692821750462772,"Существует легенда, что"
ножа,0.003759415768657268,Он ловко поддел концом
обгорели,0.21236364647527156,У Пашки
обнаружена,0.1576310911875836,В конверте вместе с деньгами была
одинаковые,0.033323342093197664,Педагог предъявляет
омоет,0.17199094217718044,"Я сказал, что русский солдат"
орехового,0.19121929343847496,Старый шкаф
повторили,0.2283086801593559,Что ты хочешь чтобы тебе
подвинул,0.07439583997987187,"Журналист взял карандаш,"
покрывало,0.0735461228661533,Отвернув цветастое
полный,0.12591889747644203,"У тебя впереди замечательный день,"
получает,0.175117254733642,Этот студент
пополнела,0.2181959842688443,"Она почти не изменилась, только слегка"
прежняя,0.009984401060866033,Перед ним снова была
пригрозили,0.09314360616483308,Когда родители
противник,0.2264024100384571,"Товарищ генерал,"
раритетных,0.01732780074679897,"Считается, что коллекционирование"
ремешок,0.0031863681964120695,Под рукавом рубашки виднелся тонкий
розетки,0.03070371636475417,На вторичном рынке жилья
росли,0.06509514896931415,Телята быстро
русалки,0.003106321184936575,И на берегу озера тогда появляются
рыбу,0.007701996399855214,"Наживка, на которую он ловил"
рыть,0.1872714121088105,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.20384645674646798,Когда мне хотелось
сечь,0.1427114116091842,"Собаку, виновницу случившегося, приказали"
снег,0.002044712263061575,Мне было лень идти на стоянку и сметать
собака,0.022254948490163816,От смерти его спасла
сора,0.2489094782123967,Он умел из любого
спать,0.20122845975891177,Он стал плохо
страшных,0.012326220895702495,Автор принадлежит к числу последних свидетелей
сытные,0.1434502239514968,"Приготовь себе диетические овощные блюда,"
трепало,0.004265516034031852,В лесу ветром
углу,0.011449755612091807,В каждом
узнал,0.281882559756951,Володя каким-то образом
уйти,0.06503891577268855,Если мы позволим этим людям
урчала,0.14907769219138323,"Елена сидела в кресле, молодая Мурка"
ускользать,0.1277079238766873,От внимания наблюдателя не должна
установить,0.13301419018602634,Государством предлагается
ухо,0.00805990589212039,"Сделав мне знак помолчать, он приложил"
фен,0.08142111942798509,"Что используют для этой прически,"
хмурила,0.47949802208029446,Она с досадой
шаг,0.05771915924803823,Я сделала
юный,0.12328308759701588,На привале у озера
