context,mean_delta_across_values,left_context
атмосфера,0.08796795206338401,В тот момент
атрибутику,0.25847456682991593,Клиенты воровали из ресторана
бампера,0.7272920071004572,Ему удалось вскрыть банку об острый край
банке,0.14686243102065946,У моего отца был счёт в швейцарском
бант,0.5345785154031406,Очень хочется заплести
баранины,0.3869969538808128,В котёл бросают куски
барса,0.41778690498074855,На запись голоса
бездетным,0.43375916314582635,Ее сын Гриша умер
бросить,0.04032366779113005,Можно будет
вагоны,0.671537310560985,"Музыканты играли на похоронах, разгружали"
вить,0.526950082983274,Дрозды и сковрцы начали
вол,0.012196297219159238,Что может сделать самый сильный
врач,0.20040801960571966,Здесь потребуется
всей,0.3275924729667926,И не надо ставить это целью
входить,0.00849844484889268,Какие главные лекарства должны
даст,0.2694785632279785,Применение микросхемы
дом,0.1506176542152934,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.005325974647173863,С нескрываемой
есть,0.19403619934502075,Однако здесь
желает,0.05706040155121935,"Тому, кто"
жирность,0.047741873410423546,В качестве примера приводится
жить,0.23348615064609848,Он признаёт право каждого
журчание,0.507542023632266,Вспоминая
заварил,0.19776039278898902,"Он вскрыл пачку сухарей,"
заявление,0.8540707646626078,На Ольгу Васильевну было написано
злило,0.2383597003889467,Я знал: их особенно
злые,0.07753237053358748,Очень тогда
зоркий,0.8132094081467613,Создать настоящие шедевры вам помогут
излишества,0.4550841459486629,Наши власти позволяют себе
иной,0.08193176874058686,У нас в Волгограде многие придерживаются
испечь,0.012797129142314016,Ей никак не суметь
количество,0.23577090395836825,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.4101591204580932,В вопросе послышался упрёк
кораблей,0.5104935986921291,"За углом ― Морской музей, с бесчисленными моделями"
который,0.38325034632304467,"Мне нравится сын коллеги,"
красоты,0.36267370050223224,Душа требовала
крен,0.7646714997906903,Наше правительство сделало
крупу,0.27170661262180157,А промывать манную
крыши,0.8273713975852324,Каждое утро на самый верх
купон,0.4152730404806837,Убедительно просим вас разборчиво заполнять
лед,0.08325271615714583,На болотах оставался ещё
лес,0.0058147884873532805,Дорога ведет в глухой
лестнице,0.5927160605786806,На ведущей вниз
летела,0.02281946096119441,Когда она в самолёте
летом,0.3960136076747153,Возможности этих перемен будут обсуждаться в Париже
лис,0.024453526318512782,"Там, недалеко от кухонной двери, сидел"
лом,0.09793037639019427,"В багажнике были лопата,"
лопоухая,0.20082636012401234,Старуха была страшной --
мазь,0.02262952309546141,Врач прописал заживляющую
микробы,0.3783439629964492,В бассейне
миссионеры,0.9406953618645173,В резервациях
молоко,0.17726621274998172,"Мама брала меня с собой, и мы, сдав"
мопед,0.266421053614031,Приблизительно в центре тайги
мужу,0.19545477210825302,Не поручайте
мяли,0.5212809102373972,В деревнях по-прежнему
называют,0.40443301138061394,В числе возможных кандидатов
напряжение,0.06082040891322782,"Твоё тело расслабляется, и исчезает"
неопытным,0.22447288904111962,Он был очень
неявное,0.8378913224742235,В речи учёного прозвучало
новой,0.193968742366466,Тема эта в то время была
ноев,0.38870399661607213,"Существует легенда, что"
ножа,0.023193062145298555,Он ловко поддел концом
нюх,0.007226464628756187,У директора школы был тонкий
обгорели,0.6608776834435264,У Пашки
обнаружена,0.00423971962114668,В конверте вместе с деньгами была
обстановка,0.2591856972118402,Стала стабильнее экономическая и политическая
обществе,0.9663129647978422,В современном
одинаковые,0.9273425785565137,Педагог предъявляет
омоет,0.2857400416090296,"Я сказал, что русский солдат"
орехового,0.09920425767016278,Старый шкаф
осы,0.014844566869259059,В сюжете этого фильма какие-то
отдельная,0.23935606957524458,Ирине досталась
открытая,0.010549839458895253,На газовой плите стояла
пахучим,0.3857982490520457,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.9593755532914283,Ненужный коврик из твёрдой
повторили,0.33892400331271905,Что ты хочешь чтобы тебе
подвинул,0.07051936980126142,"Журналист взял карандаш,"
подруга,0.2479087594111683,У мамы есть
покрывало,0.05342291024330491,Отвернув цветастое
полный,0.355452315986032,"У тебя впереди замечательный день,"
получает,0.14123008826173902,Этот студент
пополнела,0.034603918327680894,"Она почти не изменилась, только слегка"
прежняя,0.0009318950948092061,Перед ним снова была
прибыльных,0.5283356162347163,Торговля продуктами питания является одной из самых
пригрозили,0.2290676781950607,Когда родители
противник,0.4762465466409427,"Товарищ генерал,"
раритетных,0.4320049711423385,"Считается, что коллекционирование"
растяжение,0.0303773701700492,"Один футболист, который получил"
расходу,0.012691618877542603,Судя по огромному
реки,0.8855086605071456,"Город, раскинувшийся вдоль"
ремешок,0.010076386846350711,Под рукавом рубашки виднелся тонкий
розетки,0.1710561911723951,На вторичном рынке жилья
росли,0.6034947682782783,Телята быстро
рот,0.2972600693839277,Ваня раскрыл было
рубильник,0.007682068510912867,В мои обязанности входило утром включить
русалки,0.009044271618905269,И на берегу озера тогда появляются
рыбу,0.017742314652372988,"Наживка, на которую он ловил"
рыть,0.23679153600110878,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.42009030147388393,Когда мне хотелось
семья,0.2309529440858427,"Взяв с собой фотоаппарат, вся"
снег,0.23884578501793285,Мне было лень идти на стоянку и сметать
собака,0.19290297380784396,От смерти его спасла
сонату,0.26424196330079375,"По воскресеньям музыканты, исполнявшие"
сора,0.02054375761425667,Он умел из любого
соринку,0.08039966206625027,Если я еще увижу здесь хоть
союзу,0.0625784646675544,Количество денег в обороте выросло благодаря
спать,0.44517224324168664,Он стал плохо
специалист,0.2994069922606964,Работы выполняет
спокойный,0.28696077376429435,"Зачем ему звонить, если откликается"
стога,0.358122670183691,"Я слезал, щупал"
стоимостью,0.4556329380753038,Шею Лизы украшало ожерелье
страницы,0.04782095095479307,Этот роман захватывает читателя с первой
страшных,0.31775327088643796,Автор принадлежит к числу последних свидетелей
сук,0.08969271806342062,В темноте Иван задел острый
сытные,0.4602012605546066,"Приготовь себе диетические овощные блюда,"
талый,0.46707154759113484,"Олень бродил среди берёз, жевал"
телефон,0.21231176179349306,Причиной аварии был мобильный
техосмотра,0.49285335651740847,После завершения
тонким,0.24974314684993798,Чтобы придать объем
трепало,0.01758499706276243,В лесу ветром
углу,0.08854360776980956,В каждом
узкой,0.4175940568734473,Власть судов была такой
узнал,0.009791736843560555,Володя каким-то образом
уйма,0.047112980110248205,За два года накопилась
уйти,0.021902956767617134,Если мы позволим этим людям
урон,0.02619101654736725,"Думаю, большой"
урчала,0.016353654464895336,"Елена сидела в кресле, молодая Мурка"
ускользать,0.058434115755809014,От внимания наблюдателя не должна
установить,0.2963043721190924,Государством предлагается
ухо,0.17769879842025912,"Сделав мне знак помолчать, он приложил"
фарш,0.20995752238093424,"Она успевала убраться, разморозить"
фен,0.341650230633752,"Что используют для этой прически,"
хаки,0.09818063245240422,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
хмурила,0.955829654512153,Она с досадой
центре,0.9128263576879341,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.062363578621342314,Я сделала
шлейф,0.5858734166274316,За министром труда тянется целый
штатив,0.005440331175996261,Мы установили камеру на новый
юлин,0.004625482315668832,Ей хотелось выплеснуть чай на бежевый
юный,0.0882163638441664,На привале у озера
ярых,0.26189806076316946,"Покуда я нахожусь у власти, я буду предметом"
