context,mean_delta_across_values,left_context
атмосфера,0.06250058901698233,В тот момент
барса,0.2795368774410687,На запись голоса
бросить,0.42088311404995626,Можно будет
вить,0.30709616453681693,Дрозды и сковрцы начали
вол,0.004670150465149994,Что может сделать самый сильный
врач,0.03757916404341462,Здесь потребуется
всей,0.010580578751483017,И не надо ставить это целью
входить,0.011509086314777142,Какие главные лекарства должны
даст,0.21024146921127163,Применение микросхемы
есть,0.16953579470295418,Однако здесь
желает,0.36001218562603166,"Тому, кто"
заварил,0.3323892305513648,"Он вскрыл пачку сухарей,"
заставить,0.20184578608846981,Но четыре года я не мог себя
злило,0.17081704017555654,Я знал: их особенно
злые,0.27555264200568774,Очень тогда
излишества,0.1855001286797004,Наши власти позволяют себе
испечь,0.4442760475163361,Ей никак не суметь
командиру,0.02622921475531788,В вопросе послышался упрёк
красоты,0.015752779074823912,Душа требовала
крыши,0.08414935113233463,Каждое утро на самый верх
лед,0.019193941980217292,На болотах оставался ещё
летела,0.3531620545515657,Когда она в самолёте
лопоухая,0.010731923394074541,Старуха была страшной --
мопед,0.33516611141331987,Приблизительно в центре тайги
мяли,0.3040725057683226,В деревнях по-прежнему
неопытным,0.11743201566310255,Он был очень
ножа,0.007462641596939065,Он ловко поддел концом
обнаружена,0.02199712856267253,В конверте вместе с деньгами была
одинаковые,0.06687276812200371,Педагог предъявляет
повторили,0.31226333348506924,Что ты хочешь чтобы тебе
подвинул,0.07041198932853954,"Журналист взял карандаш,"
покрывало,0.2851448231744874,Отвернув цветастое
полный,0.07523202290347485,"У тебя впереди замечательный день,"
получает,0.30954446939577307,Этот студент
пополнела,0.2362638943184893,"Она почти не изменилась, только слегка"
прежняя,0.009272773329611543,Перед ним снова была
пригрозили,0.2995746826959529,Когда родители
противник,0.46869256341477583,"Товарищ генерал,"
раритетных,0.02976934838244621,"Считается, что коллекционирование"
ремешок,0.006580936246449414,Под рукавом рубашки виднелся тонкий
розетки,0.24806013826662443,На вторичном рынке жилья
росли,0.22431444813630722,Телята быстро
русалки,0.006113865520979686,И на берегу озера тогда появляются
рыбу,0.014130931491350784,"Наживка, на которую он ловил"
рыть,0.3516173902501852,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.381611333735952,Когда мне хотелось
сечь,0.16182750249769612,"Собаку, виновницу случившегося, приказали"
собака,0.01020423563739301,От смерти его спасла
сора,0.01744185669489062,Он умел из любого
спать,0.09681601646188685,Он стал плохо
трепало,0.4192664548571502,В лесу ветром
углу,0.023075497920843794,В каждом
узнал,0.43214435585292843,Володя каким-то образом
уйти,0.34139952650459615,Если мы позволим этим людям
урчала,0.4397737958658898,"Елена сидела в кресле, молодая Мурка"
ускользать,0.5146421393605232,От внимания наблюдателя не должна
установить,0.2239133021168306,Государством предлагается
ухо,0.01612796945817799,"Сделав мне знак помолчать, он приложил"
хмурила,0.32284502963196277,Она с досадой
юный,0.11785643088499441,На привале у озера
