context,mean_delta_across_values,left_context
атмосфера,0.06882944825134814,В тот момент
атрибутику,0.24684863260690443,Клиенты воровали из ресторана
бампера,0.19730392631288418,Ему удалось вскрыть банку об острый край
банке,0.08272691663360317,У моего отца был счёт в швейцарском
бант,0.23043672606580157,Очень хочется заплести
баранины,0.12271266333824087,В котёл бросают куски
барса,0.12249021238673385,На запись голоса
бездетным,0.12235807978056504,Ее сын Гриша умер
бросить,0.020992884546289843,Можно будет
вагоны,0.24209678693781547,"Музыканты играли на похоронах, разгружали"
вить,0.13467493833259425,Дрозды и сковрцы начали
вол,0.0035980926588187172,Что может сделать самый сильный
врач,0.0501105909688467,Здесь потребуется
всей,0.14299634135952863,И не надо ставить это целью
даст,0.1171447880984181,Применение микросхемы
дом,0.22650327190823247,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.13216541938396603,С нескрываемой
желает,0.009847555742726272,"Тому, кто"
жирность,0.004665272167516426,В качестве примера приводится
жить,0.09742351905067721,Он признаёт право каждого
журчание,0.12128090364122202,Вспоминая
заварил,0.11241559991527542,"Он вскрыл пачку сухарей,"
заявление,0.1567507619817628,На Ольгу Васильевну было написано
злые,0.12055919493736218,Очень тогда
зоркий,0.020746317754878944,Создать настоящие шедевры вам помогут
излишества,0.09470442437955115,Наши власти позволяют себе
иной,0.16490319339729892,У нас в Волгограде многие придерживаются
испечь,0.003292136418763231,Ей никак не суметь
количество,0.24952662123489205,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.04945112448712566,В вопросе послышался упрёк
кораблей,0.14493543586393184,"За углом ― Морской музей, с бесчисленными моделями"
который,0.20204758804054845,"Мне нравится сын коллеги,"
красоты,0.11761042579870276,Душа требовала
крен,0.24854822301156557,Наше правительство сделало
крупу,0.12040286369968103,А промывать манную
крыши,0.17912139923960713,Каждое утро на самый верх
купон,0.24501646365202412,Убедительно просим вас разборчиво заполнять
лед,0.051704572007601035,На болотах оставался ещё
лес,0.08191552312370337,Дорога ведет в глухой
лестнице,0.20674032347650761,На ведущей вниз
летела,0.10979126530312022,Когда она в самолёте
летом,0.13414531699942023,Возможности этих перемен будут обсуждаться в Париже
лис,0.006181008659798138,"Там, недалеко от кухонной двери, сидел"
лом,0.0013173861670829408,"В багажнике были лопата,"
лопоухая,0.10129012786356191,Старуха была страшной --
мазь,0.005603895264225516,Врач прописал заживляющую
микробы,0.08410280709390944,В бассейне
миссионеры,0.1148283360083395,В резервациях
молоко,0.20945213707395632,"Мама брала меня с собой, и мы, сдав"
мопед,0.030056078982650485,Приблизительно в центре тайги
мужу,0.184482671834702,Не поручайте
называют,0.08291849945152056,В числе возможных кандидатов
напряжение,0.015180447523765529,"Твоё тело расслабляется, и исчезает"
неопытным,0.05873917015888526,Он был очень
неявное,0.01658080782639315,В речи учёного прозвучало
новой,0.06603866575254447,Тема эта в то время была
ноев,0.058512894578239515,"Существует легенда, что"
ножа,0.24191679480900896,Он ловко поддел концом
нюх,0.0014797424512440873,У директора школы был тонкий
обгорели,0.13582503373877922,У Пашки
обнаружена,0.008432760609973831,В конверте вместе с деньгами была
обстановка,0.1684891857744446,Стала стабильнее экономическая и политическая
обществе,0.24456114943925109,В современном
одинаковые,0.2152583102503488,Педагог предъявляет
омоет,0.015555820126067535,"Я сказал, что русский солдат"
орехового,0.11429268153500344,Старый шкаф
осы,0.003793231186291486,В сюжете этого фильма какие-то
отдельная,0.02157809868559792,Ирине досталась
открытая,0.002721283997395349,На газовой плите стояла
пахучим,0.09923406393381551,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.24525821103179038,Ненужный коврик из твёрдой
подвинул,0.14108547348334782,"Журналист взял карандаш,"
подруга,0.07163871774374275,У мамы есть
покрывало,0.19712640302438122,Отвернув цветастое
полный,0.09419097631941999,"У тебя впереди замечательный день,"
пополнела,0.1153066058927639,"Она почти не изменилась, только слегка"
прежняя,0.015200984361884596,Перед ним снова была
прибыльных,0.22853127850415383,Торговля продуктами питания является одной из самых
пригрозили,0.02363593967788063,Когда родители
противник,0.03237031665198348,"Товарищ генерал,"
раритетных,0.13375587467797107,"Считается, что коллекционирование"
растяжение,0.01634130461686472,"Один футболист, который получил"
расходу,0.005840571196140095,Судя по огромному
реки,0.007418308491998939,"Город, раскинувшийся вдоль"
ремешок,0.002497390986952605,Под рукавом рубашки виднелся тонкий
розетки,0.02727158287107615,На вторичном рынке жилья
росли,0.014529604216636046,Телята быстро
рот,0.24355738887921038,Ваня раскрыл было
рубильник,0.12568482611661982,В мои обязанности входило утром включить
русалки,0.0023235886791292707,И на берегу озера тогда появляются
рыбу,0.23555819807718623,"Наживка, на которую он ловил"
сгущенки,0.10665434036276038,Когда мне хотелось
семья,0.05485392392568537,"Взяв с собой фотоаппарат, вся"
снег,0.15726798406324202,Мне было лень идти на стоянку и сметать
собака,0.026841206171260817,От смерти его спасла
сонату,0.15329831288081025,"По воскресеньям музыканты, исполнявшие"
сора,0.005292366000670779,Он умел из любого
соринку,0.2402455460037417,Если я еще увижу здесь хоть
союзу,0.09245641770468799,Количество денег в обороте выросло благодаря
спать,0.09860253632668065,Он стал плохо
специалист,0.08313386752976541,Работы выполняет
спокойный,0.017680565028802463,"Зачем ему звонить, если откликается"
стога,0.1928714269618666,"Я слезал, щупал"
стоимостью,0.11391658413012518,Шею Лизы украшало ожерелье
страницы,0.07168480312606874,Этот роман захватывает читателя с первой
страшных,0.12119165980801941,Автор принадлежит к числу последних свидетелей
сук,0.23122123136608055,В темноте Иван задел острый
сытные,0.010141921938747136,"Приготовь себе диетические овощные блюда,"
талый,0.24792506665737787,"Олень бродил среди берёз, жевал"
телефон,0.05616106350215804,Причиной аварии был мобильный
техосмотра,0.12560049303274132,После завершения
тонким,0.10007499900389041,Чтобы придать объем
трепало,0.0014427496030373303,В лесу ветром
углу,0.22101439355521646,В каждом
узкой,0.21656718271651962,Власть судов была такой
узнал,0.0018205528133582879,Володя каким-то образом
уйма,0.07833395168464796,За два года накопилась
уйти,0.007013943214519723,Если мы позволим этим людям
урон,0.21429718924138635,"Думаю, большой"
урчала,0.02170378386980258,"Елена сидела в кресле, молодая Мурка"
ускользать,0.013349303830444434,От внимания наблюдателя не должна
установить,0.11438761381134607,Государством предлагается
ухо,0.1840777299416231,"Сделав мне знак помолчать, он приложил"
фарш,0.23507687358142243,"Она успевала убраться, разморозить"
фен,0.11570755122760414,"Что используют для этой прически,"
хаки,0.18985316394951662,"Выбирая вязаную шапочку, знайте, что лучше шапка цвета"
центре,0.005570029372582328,"Зоопарк ― это кусочек другого мира, находящийся в самом"
шаг,0.0634455788525781,Я сделала
шлейф,0.18013055887332186,За министром труда тянется целый
штатив,0.24871524783896598,Мы установили камеру на новый
юлин,0.10745711239888056,Ей хотелось выплеснуть чай на бежевый
юный,0.08565994273144925,На привале у озера
ярых,0.23550464624848813,"Покуда я нахожусь у власти, я буду предметом"
