left_context,target_word,n_human_lemmas,overlap_at_5,weighted_overlap_at_5,surface_match_at_5,surface_weighted_match_at_5,overlap_at_10,weighted_overlap_at_10,surface_match_at_10,surface_weighted_match_at_10,overlap_at_15,weighted_overlap_at_15,surface_match_at_15,surface_weighted_match_at_15,overlap_at_20,weighted_overlap_at_20,surface_match_at_20,surface_weighted_match_at_20,overlap_at_50,weighted_overlap_at_50,surface_match_at_50,surface_weighted_match_at_50,overlap_at_100,weighted_overlap_at_100,surface_match_at_100,surface_weighted_match_at_100,overlap_at_200,weighted_overlap_at_200,surface_match_at_200,surface_weighted_match_at_200,overlap_at_400,weighted_overlap_at_400,surface_match_at_400,surface_weighted_match_at_400
"Думаю, большой",урон,32,0.0,0.0,0.0,0.0,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.03125,0.04081632653061224,0.0625,0.061224489795918366,0.03125,0.04081632653061224,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306,0.125,0.1020408163265306
Мы установили камеру на новый,штатив,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.10204081632653061,0.0,0.0,0.0425531914893617,0.10884353741496598,0.02127659574468085,0.10204081632653061,0.0851063829787234,0.12244897959183673,0.06382978723404255,0.11564625850340136,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285,0.14893617021276595,0.14285714285714285
"Музыканты играли на похоронах, разгружали",вагоны,11,0.0,0.0,0.0,0.0,0.09090909090909091,0.05263157894736842,0.08333333333333333,0.05263157894736842,0.18181818181818182,0.3684210526315789,0.16666666666666666,0.3684210526315789,0.18181818181818182,0.3684210526315789,0.16666666666666666,0.3684210526315789,0.36363636363636365,0.5263157894736842,0.16666666666666666,0.3684210526315789,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735,0.36363636363636365,0.5263157894736842,0.25,0.42105263157894735
Клиенты воровали из ресторана,атрибутику,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
В сюжете этого фильма какие-то,осы,27,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.07407407407407407,0.046153846153846156,0.18518518518518517,0.35384615384615387,0.14814814814814814,0.3384615384615385,0.2222222222222222,0.6153846153846154,0.18518518518518517,0.35384615384615387,0.25925925925925924,0.6615384615384616,0.2222222222222222,0.4,0.25925925925925924,0.6615384615384616,0.2222222222222222,0.4
После завершения,техосмотра,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.29411764705882354,0.14285714285714285,0.11764705882352941,0.2857142857142857,0.35294117647058826,0.21428571428571427,0.29411764705882354,0.35714285714285715,0.4117647058823529,0.2857142857142857,0.35294117647058826,0.35714285714285715,0.4117647058823529,0.2857142857142857,0.35294117647058826
Ей никак не суметь,испечь,55,0.01818181818181818,0.008264462809917356,0.017857142857142856,0.008264462809917356,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.03636363636363636,0.01652892561983471,0.03571428571428571,0.01652892561983471,0.07272727272727272,0.04132231404958678,0.03571428571428571,0.01652892561983471,0.18181818181818182,0.30578512396694213,0.14285714285714285,0.0743801652892562,0.23636363636363636,0.39669421487603307,0.21428571428571427,0.371900826446281,0.23636363636363636,0.39669421487603307,0.21428571428571427,0.371900826446281
Если я еще увижу здесь хоть,соринку,10,0.1,0.7386363636363636,0.07692307692307693,0.2159090909090909,0.1,0.7386363636363636,0.23076923076923078,0.6363636363636364,0.2,0.7727272727272727,0.3076923076923077,0.6704545454545454,0.3,0.7840909090909091,0.38461538461538464,0.6818181818181819,0.3,0.7840909090909091,0.46153846153846156,0.7840909090909091,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455,0.5,0.9204545454545454,0.6153846153846154,0.9204545454545455
Он умел из любого,сора,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806,0.023255813953488372,0.0625,0.023255813953488372,0.0967741935483871,0.12790697674418605,0.09375,0.12790697674418605,0.0967741935483871,0.12790697674418605,0.09375,0.12790697674418605,0.16129032258064516,0.1744186046511628,0.125,0.13953488372093023,0.1935483870967742,0.18604651162790697,0.15625,0.1511627906976744,0.1935483870967742,0.18604651162790697,0.15625,0.1511627906976744
В современном,обществе,3,0.3333333333333333,0.8823529411764706,0.0,0.0,0.3333333333333333,0.8823529411764706,0.0,0.0,0.6666666666666666,0.9411764705882353,0.3333333333333333,0.058823529411764705,0.6666666666666666,0.9411764705882353,0.3333333333333333,0.058823529411764705,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353,0.6666666666666666,0.9411764705882353
