context,mean_delta_across_values,left_context
атмосфера,0.46111947857131325,В тот момент
атрибутику,0.4990396694621229,Клиенты воровали из ресторана
бампера,0.14817563773589865,Ему удалось вскрыть банку об острый край
банке,0.18528384925712424,У моего отца был счёт в швейцарском
бант,0.18601237753148694,Очень хочется заплести
баранины,0.2387406176363625,В котёл бросают куски
барса,0.3111861779909533,На запись голоса
бездетным,0.027076830907519462,Ее сын Гриша умер
вагоны,0.43991978584033886,"Музыканты играли на похоронах, разгружали"
вол,0.41191938864889405,Что может сделать самый сильный
врач,0.07825651682795597,Здесь потребуется
всей,0.014069601017342639,И не надо ставить это целью
даст,0.023097744492040443,Применение микросхемы
дом,0.1609902607323529,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.2370694417972505,С нескрываемой
желает,0.017343585917884922,"Тому, кто"
жирность,0.14870494412704308,В качестве примера приводится
жить,0.2619671627064132,Он признаёт право каждого
журчание,0.3317603902706411,Вспоминая
заявление,0.46059889772070073,На Ольгу Васильевну было написано
злые,0.004574747095719651,Очень тогда
зоркий,0.41828255888112315,Создать настоящие шедевры вам помогут
излишества,0.07585456955591247,Наши власти позволяют себе
иной,0.10895307432171564,У нас в Волгограде многие придерживаются
испечь,0.005958359437587401,Ей никак не суметь
количество,0.44017847035758795,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.14385951702574984,В вопросе послышался упрёк
кораблей,0.34812629719051474,"За углом ― Морской музей, с бесчисленными моделями"
который,0.47631905079035386,"Мне нравится сын коллеги,"
красоты,0.3447238685833878,Душа требовала
крен,0.38866965135559256,Наше правительство сделало
крупу,0.2691402644768606,А промывать манную
крыши,0.16821904805508364,Каждое утро на самый верх
купон,0.48228594985913453,Убедительно просим вас разборчиво заполнять
лед,0.053728510676529895,На болотах оставался ещё
лес,0.15429482424525628,Дорога ведет в глухой
лестнице,0.3667603639712525,На ведущей вниз
летела,0.07172193861361736,Когда она в самолёте
летом,0.3494501106701306,Возможности этих перемен будут обсуждаться в Париже
лис,0.33268614562417465,"Там, недалеко от кухонной двери, сидел"
лом,0.279377782405413,"В багажнике были лопата,"
лопоухая,0.12408225388822972,Старуха была страшной --
мазь,0.3430905436817904,Врач прописал заживляющую
микробы,0.2638036199496322,В бассейне
миссионеры,0.41444843940405257,В резервациях
молоко,0.09832784651875144,"Мама брала меня с собой, и мы, сдав"
мопед,0.03431680175572505,Приблизительно в центре тайги
мужу,0.10937047504658694,Не поручайте
называют,0.3045146000079942,В числе возможных кандидатов
напряжение,0.14531138375095923,"Твоё тело расслабляется, и исчезает"
неопытным,0.019538246070823502,Он был очень
неявное,0.24783533249961812,В речи учёного прозвучало
новой,0.023998011540017204,Тема эта в то время была
ноев,0.0805861980378103,"Существует легенда, что"
ножа,0.20412470836105306,Он ловко поддел концом
нюх,0.005710936119134388,У директора школы был тонкий
обгорели,0.44276837281465087,У Пашки
обнаружена,0.26439833664552426,В конверте вместе с деньгами была
обстановка,0.13887330967876407,Стала стабильнее экономическая и политическая
обществе,0.49132609507770114,В современном
одинаковые,0.39602314679248335,Педагог предъявляет
осы,0.44420213553156557,В сюжете этого фильма какие-то
отдельная,0.10182376012125875,Ирине досталась
открытая,0.4729656637146979,На газовой плите стояла
пахучим,0.3904197470498778,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.4672641994838157,Ненужный коврик из твёрдой
подвинул,0.18081017584497214,"Журналист взял карандаш,"
подруга,0.1668099759802885,У мамы есть
покрывало,0.16749464383449794,Отвернув цветастое
полный,0.12864701218440006,"У тебя впереди замечательный день,"
прежняя,0.158340829784802,Перед ним снова была
пригрозили,0.07158102209404416,Когда родители
раритетных,0.23733648598747475,"Считается, что коллекционирование"
растяжение,0.4129018462772155,"Один футболист, который получил"
