left_context,target_word,target_class,overlap_at_5,overlap_at_10,overlap_at_20,overlap_at_50,overlap_at_100,weighted_overlap_at_5,weighted_overlap_at_10,weighted_overlap_at_20,weighted_overlap_at_50,weighted_overlap_at_100
В тот момент,атмосфера,C4,0.0,0.2,0.4,0.6,0.6,0.0,0.4375,0.625,0.75,0.75
Клиенты воровали из ресторана,атрибутику,C4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ему удалось вскрыть банку об острый край,бампера,C4,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.0,0.0625,0.0625,0.0625,0.125
У моего отца был счёт в швейцарском,банке,C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Очень хочется заплести,бант,C4,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.05,0.05,0.1,0.1,0.1
В котёл бросают куски,баранины,C3,0.0,0.2,0.2,0.2,0.2,0.0,0.8,0.8,0.8,0.8
На запись голоса,барса,C4,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.2,0.12000000000000001,0.12000000000000001,0.18,0.24000000000000002,0.24000000000000002
Ее сын Гриша умер,бездетным,C4,0.0,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.0,0.3333333333333333,0.7222222222222222,0.7222222222222222,0.7777777777777778
Можно будет,бросить,C4,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.07894736842105263,0.18421052631578946,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.13846153846153847,0.27692307692307694
"Музыканты играли на похоронах, разгружали",вагоны,C1,0.0,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.0,0.05263157894736842,0.3684210526315789,0.5263157894736842,0.5263157894736842
Дрозды и сковрцы начали,вить,C2,0.125,0.125,0.125,0.125,0.25,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.2
Что может сделать самый сильный,вол,C4,0.09523809523809523,0.19047619047619047,0.2857142857142857,0.3333333333333333,0.47619047619047616,0.036036036036036036,0.08108108108108109,0.0990990990990991,0.8108108108108107,0.8558558558558558
Здесь потребуется,врач,C4,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125
И не надо ставить это целью,всей,C1,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.5,0.0,0.058823529411764705,0.058823529411764705,0.25,0.8823529411764706
Какие главные лекарства должны,входить,C3,0.08333333333333333,0.25,0.25,0.5833333333333334,0.6666666666666666,0.01639344262295082,0.7213114754098361,0.7213114754098361,0.8852459016393442,0.9016393442622951
Применение микросхемы,даст,C2,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.05263157894736842,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.5263157894736842
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,C1,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.9230769230769231,0.9230769230769231,0.9358974358974359,0.9487179487179488,0.9615384615384616
С нескрываемой,едкой,C4,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.5,0.6428571428571428
Однако здесь,есть,C1,0.07692307692307693,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.5384615384615384,0.1,0.30000000000000004,0.5,0.5,0.7000000000000001
"Тому, кто",желает,C4,0.0196078431372549,0.0392156862745098,0.0784313725490196,0.13725490196078433,0.35294117647058826,0.051470588235294115,0.11029411764705882,0.14705882352941177,0.19117647058823528,0.4264705882352941
В качестве примера приводится,жирность,C4,0.02564102564102564,0.05128205128205128,0.07692307692307693,0.10256410256410256,0.1794871794871795,0.014705882352941176,0.044117647058823525,0.058823529411764705,0.07352941176470588,0.11764705882352941
Он признаёт право каждого,жить,C3,0.4,0.4,0.6,0.8,0.8,0.3333333333333333,0.3333333333333333,0.9047619047619047,0.9523809523809523,0.9523809523809523
Вспоминая,журчание,C4,0.0,0.07142857142857142,0.21428571428571427,0.5,0.5,0.0,0.125,0.20833333333333331,0.375,0.375
"Он вскрыл пачку сухарей,",заварил,C4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.3157894736842105,0.3684210526315789
Но четыре года я не мог себя,заставить,C1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3333333333333333
На Ольгу Васильевну было написано,заявление,C2,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333
Я знал: их особенно,злило,C4,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.6666666666666666,0.25,0.25,0.3125,0.5,0.6875
Очень тогда,злые,C4,0.0,0.07407407407407407,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.0,0.029411764705882353,0.11764705882352941,0.4117647058823529,0.4852941176470588
Создать настоящие шедевры вам помогут,зоркий,C4,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.125,0.5625,0.5625,0.625,0.625
Наши власти позволяют себе,излишества,C4,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666
У нас в Волгограде многие придерживаются,иной,C2,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.04477611940298507,0.04477611940298507
Ей никак не суметь,испечь,C4,0.01818181818181818,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.18181818181818182,0.008264462809917356,0.01652892561983471,0.01652892561983471,0.04132231404958678,0.30578512396694213
Во избежание ожогов надо нанести на лицо небольшое,количество,C1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
В вопросе послышался упрёк,командиру,C4,0.125,0.25,0.25,0.375,0.5,0.3684210526315789,0.6842105263157894,0.6842105263157894,0.7368421052631579,0.7894736842105263
"За углом ― Морской музей, с бесчисленными моделями",кораблей,C1,0.0,0.0,0.2,0.6,1.0,0.0,0.0,0.029411764705882353,0.9558823529411765,1.0
"Мне нравится сын коллеги,",который,C1,0.15384615384615385,0.38461538461538464,0.6153846153846154,0.6923076923076923,0.6923076923076923,0.20689655172413793,0.40229885057471265,0.9425287356321839,0.9540229885057471,0.9540229885057471
Душа требовала,красоты,C3,0.0,0.06060606060606061,0.06060606060606061,0.09090909090909091,0.15151515151515152,0.0,0.05263157894736842,0.05263157894736842,0.23684210526315788,0.35526315789473684
Наше правительство сделало,крен,C2,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.0196078431372549,0.0196078431372549
А промывать манную,крупу,C1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.0625,0.0625,0.6875,0.6875,1.0
