context,mean_delta_across_values,left_context
атмосфера,0.031248092144712605,В тот момент
атрибутику,0.5013206932332535,Клиенты воровали из ресторана
бампера,0.3041484548825454,Ему удалось вскрыть банку об острый край
банке,0.5207108177221774,У моего отца был счёт в швейцарском
бант,0.2396287838033016,Очень хочется заплести
баранины,0.18415309953948106,В котёл бросают куски
барса,0.05004972989037324,На запись голоса
бездетным,0.029483516362012876,Ее сын Гриша умер
вагоны,0.30299889903202853,"Музыканты играли на похоронах, разгружали"
вол,0.259102195426449,Что может сделать самый сильный
всей,0.04863478314021894,И не надо ставить это целью
даст,0.021890735986370882,Применение микросхемы
дом,0.0750283640838516,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.15840425328553578,С нескрываемой
жирность,0.27071476591123866,В качестве примера приводится
жить,0.1685824858240299,Он признаёт право каждого
заявление,0.2684283086084292,На Ольгу Васильевну было написано
злые,0.007702352544858034,Очень тогда
зоркий,0.12499998686269327,Создать настоящие шедевры вам помогут
излишества,0.0805695445110041,Наши власти позволяют себе
иной,0.08090331720903748,У нас в Волгограде многие придерживаются
испечь,0.007554263843575028,Ей никак не суметь
количество,0.0015877681281180958,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.027166896378661664,В вопросе послышался упрёк
кораблей,0.13086297014431159,"За углом ― Морской музей, с бесчисленными моделями"
красоты,0.3005371932917459,Душа требовала
крен,0.30318036885092814,Наше правительство сделало
крупу,0.025804979355153437,А промывать манную
крыши,0.22251374345151298,Каждое утро на самый верх
купон,0.17049274003928905,Убедительно просим вас разборчиво заполнять
лес,0.040495716735157894,Дорога ведет в глухой
лестнице,0.3813881936097947,На ведущей вниз
летела,0.07585844295042368,Когда она в самолёте
лис,0.3199525749095771,"Там, недалеко от кухонной двери, сидел"
лом,0.30520819698119744,"В багажнике были лопата,"
лопоухая,0.12866509891013,Старуха была страшной --
мазь,0.015697209998024875,Врач прописал заживляющую
микробы,0.4788119507141568,В бассейне
миссионеры,0.38638119265687926,В резервациях
молоко,0.26750400721445416,"Мама брала меня с собой, и мы, сдав"
мужу,0.23650364896885911,Не поручайте
напряжение,0.1283889181800169,"Твоё тело расслабляется, и исчезает"
неопытным,0.027838379130091444,Он был очень
неявное,0.2101944393302994,В речи учёного прозвучало
новой,0.024998926775878758,Тема эта в то время была
ножа,0.3682296855542943,Он ловко поддел концом
нюх,0.31894726078255686,У директора школы был тонкий
обгорели,0.026648073307781704,У Пашки
обнаружена,0.003950507877773735,В конверте вместе с деньгами была
