context,mean_delta_across_values,left_context
атмосфера,0.04166212153401815,В тот момент
баранины,0.03410337563969954,В котёл бросают куски
барса,0.10809234300123442,На запись голоса
всей,0.010315455233319186,И не надо ставить это целью
входить,0.005635963208624791,Какие главные лекарства должны
даст,0.12858265830903642,Применение микросхемы
есть,0.2596822544533856,Однако здесь
желает,0.2667716319884564,"Тому, кто"
журчание,0.16168388880092363,Вспоминая
заварил,0.23650051299074581,"Он вскрыл пачку сухарей,"
злило,0.1795666034613126,Я знал: их особенно
злые,0.19063723740525798,Очень тогда
командиру,0.15323086521489912,В вопросе послышался упрёк
который,0.003648154004530986,"Мне нравится сын коллеги,"
крыши,0.0826814862199073,Каждое утро на самый верх
лед,0.0067997705067835935,На болотах оставался ещё
лес,0.007852852524341088,Дорога ведет в глухой
летела,0.235402956158576,Когда она в самолёте
лис,0.3011434234736693,"Там, недалеко от кухонной двери, сидел"
лопоухая,0.010024731914509342,Старуха была страшной --
мопед,0.11046379815353968,Приблизительно в центре тайги
мяли,0.08332976357948521,В деревнях по-прежнему
называют,0.10665077427805414,В числе возможных кандидатов
неопытным,0.06813441286306256,Он был очень
новой,0.10149001684622912,Тема эта в то время была
ноев,0.06261497382080071,"Существует легенда, что"
ножа,0.004968288137412194,Он ловко поддел концом
обгорели,0.28308604517445896,У Пашки
обнаружена,0.2621048704218907,В конверте вместе с деньгами была
одинаковые,0.04445180066456594,Педагог предъявляет
омоет,0.3100475176592084,"Я сказал, что русский солдат"
орехового,0.25441419622255657,Старый шкаф
повторили,0.29307578158947906,Что ты хочешь чтобы тебе
подвинул,0.09996167489316034,"Журналист взял карандаш,"
покрывало,0.09800230521740178,Отвернув цветастое
полный,0.07552600713950679,"У тебя впереди замечательный день,"
получает,0.2335873922131609,Этот студент
пополнела,0.29086530409641287,"Она почти не изменилась, только слегка"
прежняя,0.013259696025997655,Перед ним снова была
пригрозили,0.16070594323267942,Когда родители
противник,0.037551159870471355,"Товарищ генерал,"
раритетных,0.023320615056043468,"Считается, что коллекционирование"
ремешок,0.004037021376794863,Под рукавом рубашки виднелся тонкий
розетки,0.08321458336545057,На вторичном рынке жилья
росли,0.32097078336873824,Телята быстро
русалки,0.004112953999441997,И на берегу озера тогда появляются
рыбу,0.010481905346271296,"Наживка, на которую он ловил"
рыть,0.06752916540492616,"Не обнаружив ничего в досье, сыщики решили"
снег,0.005820725529593114,Мне было лень идти на стоянку и сметать
собака,0.02966460094778778,От смерти его спасла
спать,0.07110485460895431,Он стал плохо
страшных,0.01629173386475029,Автор принадлежит к числу последних свидетелей
трепало,0.017015143464330303,В лесу ветром
углу,0.015266340816122409,В каждом
узнал,0.0025842776800771494,Володя каким-то образом
уйти,0.016868640448351613,Если мы позволим этим людям
урчала,0.06909354811360538,"Елена сидела в кресле, молодая Мурка"
ускользать,0.011902177016083726,От внимания наблюдателя не должна
ухо,0.0035690912510799523,"Сделав мне знак помолчать, он приложил"
фен,0.1005648848325534,"Что используют для этой прически,"
хмурила,0.014694163234126196,Она с досадой
шаг,0.003779255292017831,Я сделала
юный,0.07803267956064512,На привале у озера
