context,mean_delta_across_values,left_context
атмосфера,0.37482816286344206,В тот момент
атрибутику,0.49865947687156287,Клиенты воровали из ресторана
бампера,0.399315525637721,Ему удалось вскрыть банку об острый край
банке,0.5212174779285746,У моего отца был счёт в швейцарском
бант,0.23881444056735562,Очень хочется заплести
баранины,0.26827915482009207,В котёл бросают куски
барса,0.3891031212868613,На запись голоса
бездетным,0.05220000065927881,Ее сын Гриша умер
бросить,0.022994132790592967,Можно будет
вагоны,0.3021482429643879,"Музыканты играли на похоронах, разгружали"
вить,0.05153013726243506,Дрозды и сковрцы начали
вол,0.2607873273554254,Что может сделать самый сильный
врач,0.23448379955444112,Здесь потребуется
всей,0.3994462651634077,И не надо ставить это целью
входить,0.008223619878323667,Какие главные лекарства должны
даст,0.23344600556833586,Применение микросхемы
дом,0.003176832699063064,"Выходя замуж, ты надеялась обрести спокойствие, уютный"
едкой,0.1677803334974505,С нескрываемой
есть,0.11214954555974983,Однако здесь
желает,0.4078077612902307,"Тому, кто"
жирность,0.3829906894230552,В качестве примера приводится
жить,0.16858248582402993,Он признаёт право каждого
журчание,0.4136560132382028,Вспоминая
заварил,0.28099318648639116,"Он вскрыл пачку сухарей,"
заявление,0.33509497527509585,На Ольгу Васильевну было написано
злило,0.25116145213534224,Я знал: их особенно
злые,0.39163179521746383,Очень тогда
зоркий,0.31519850603310384,Создать настоящие шедевры вам помогут
излишества,0.04722877538764887,Наши власти позволяют себе
иной,0.24637801969385756,У нас в Волгограде многие придерживаются
испечь,0.013157023967931307,Ей никак не суметь
количество,0.0015808317242611003,Во избежание ожогов надо нанести на лицо небольшое
командиру,0.07545894596547975,В вопросе послышался упрёк
кораблей,0.10887028864712525,"За углом ― Морской музей, с бесчисленными моделями"
который,0.029006719999551345,"Мне нравится сын коллеги,"
красоты,0.3202718589630482,Душа требовала
крен,0.3354565181037595,Наше правительство сделало
крупу,0.005376253566621596,А промывать манную
крыши,0.39574120071213625,Каждое утро на самый верх
купон,0.16900684438003472,Убедительно просим вас разборчиво заполнять
лед,0.2856230801248743,На болотах оставался ещё
лес,0.04376799314592131,Дорога ведет в глухой
лестнице,0.4884885790214931,На ведущей вниз
летела,0.4525501699557093,Когда она в самолёте
лис,0.3899148022917944,"Там, недалеко от кухонной двери, сидел"
лом,0.2799988649917224,"В багажнике были лопата,"
лопоухая,0.3344541195912328,Старуха была страшной --
мазь,0.015698844495136463,Врач прописал заживляющую
микробы,0.498168140157694,В бассейне
миссионеры,0.43665871767688824,В резервациях
молоко,0.3288632765857965,"Мама брала меня с собой, и мы, сдав"
мопед,0.468617495527101,Приблизительно в центре тайги
мужу,0.29729393337007654,Не поручайте
мяли,0.27057347657523295,В деревнях по-прежнему
напряжение,0.05376446307171681,"Твоё тело расслабляется, и исчезает"
неопытным,0.2900860218048264,Он был очень
неявное,0.3279333523287955,В речи учёного прозвучало
новой,0.19965584050706042,Тема эта в то время была
ножа,0.405786670546859,Он ловко поддел концом
нюх,0.32426443702115204,У директора школы был тонкий
обгорели,0.4516480733077817,У Пашки
обнаружена,0.06708479950402994,В конверте вместе с деньгами была
обстановка,0.02709745882707925,Стала стабильнее экономическая и политическая
обществе,0.04477083705382143,В современном
одинаковые,0.21541968946396642,Педагог предъявляет
осы,0.39686632240079156,В сюжете этого фильма какие-то
отдельная,0.28903596704471374,Ирине досталась
открытая,0.05022721370441246,На газовой плите стояла
пахучим,0.04207415100775614,"Я люблю салат из картошки с зеленью, заправленный"
пластмассы,0.8440480268886612,Ненужный коврик из твёрдой
повторили,0.3152334731868165,Что ты хочешь чтобы тебе
подвинул,0.32132919389065223,"Журналист взял карандаш,"
подруга,0.35067736375840225,У мамы есть
покрывало,0.022134755983533063,Отвернув цветастое
полный,0.06825691125253922,"У тебя впереди замечательный день,"
получает,0.30955907492607254,Этот студент
пополнела,0.2742623541922051,"Она почти не изменилась, только слегка"
прежняя,0.3869365441125153,Перед ним снова была
прибыльных,0.24948593092160168,Торговля продуктами питания является одной из самых
пригрозили,0.41496108215825706,Когда родители
противник,0.38658288971523036,"Товарищ генерал,"
раритетных,0.39800956520209413,"Считается, что коллекционирование"
растяжение,0.3223989595318638,"Один футболист, который получил"
расходу,0.022857858683082342,Судя по огромному
реки,0.7408442242181279,"Город, раскинувшийся вдоль"
ремешок,0.29757563541311643,Под рукавом рубашки виднелся тонкий
розетки,0.36099705456102815,На вторичном рынке жилья
росли,0.2006607381888898,Телята быстро
рот,0.21838217669437127,Ваня раскрыл было
рубильник,0.38993113415500597,В мои обязанности входило утром включить
русалки,0.46953602007880396,И на берегу озера тогда появляются
рыбу,0.36103138385990624,"Наживка, на которую он ловил"
рыть,0.03333105088226197,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.04147521955458382,Когда мне хотелось
семья,0.19895650109703494,"Взяв с собой фотоаппарат, вся"
снег,0.13599292915370487,Мне было лень идти на стоянку и сметать
собака,0.44312305227226517,От смерти его спасла
