context,mean_delta_across_values,left_context
атмосфера,0.06252376587154988,В тот момент
баранины,0.05428384268550579,В котёл бросают куски
барса,0.1594516726889787,На запись голоса
бросить,0.3972599242875664,Можно будет
вить,0.428992874688602,Дрозды и сковрцы начали
вол,0.00338168272634255,Что может сделать самый сильный
врач,0.08279156266610183,Здесь потребуется
всей,0.010593922781551133,И не надо ставить это целью
входить,0.02007431910913075,Какие главные лекарства должны
даст,0.12252000630838183,Применение микросхемы
есть,0.439359019002566,Однако здесь
желает,0.0962675120149471,"Тому, кто"
журчание,0.24257207238472714,Вспоминая
заварил,0.35470235438258296,"Он вскрыл пачку сухарей,"
заставить,0.2064359717366873,Но четыре года я не мог себя
злило,0.26954623973404496,Я знал: их особенно
злые,0.2931290974450676,Очень тогда
излишества,0.20032636075407292,Наши власти позволяют себе
испечь,0.05337788111782106,Ей никак не суметь
командиру,0.34405370279598935,В вопросе послышался упрёк
который,0.005418409151602486,"Мне нравится сын коллеги,"
красоты,0.45992677913475594,Душа требовала
крыши,0.12369264145808492,Каждое утро на самый верх
лед,0.0163407357345262,На болотах оставался ещё
лес,0.01179742011639297,Дорога ведет в глухой
летела,0.35184117307415125,Когда она в самолёте
лис,0.459845216511317,"Там, недалеко от кухонной двери, сидел"
лопоухая,0.01534052862283206,Старуха была страшной --
мопед,0.25351551919411863,Приблизительно в центре тайги
мужу,0.006056632999360619,Не поручайте
мяли,0.3129017327445912,В деревнях по-прежнему
называют,0.09453664872251885,В числе возможных кандидатов
неопытным,0.09824217457913878,Он был очень
новой,0.15211452299903475,Тема эта в то время была
ноев,0.09386251406348747,"Существует легенда, что"
ножа,0.007518831537314537,Он ловко поддел концом
обгорели,0.42482260785279014,У Пашки
обнаружена,0.3932068152673135,В конверте вместе с деньгами была
одинаковые,0.06667545202802398,Педагог предъявляет
омоет,0.5273553638106048,"Я сказал, что русский солдат"
орехового,0.38062670054134023,Старый шкаф
повторили,0.4153220587697117,Что ты хочешь чтобы тебе
подвинул,0.14791255301488487,"Журналист взял карандаш,"
покрывало,0.14697262942720932,Отвернув цветастое
полный,0.08525552381083223,"У тебя впереди замечательный день,"
получает,0.3501925422774386,Этот студент
пополнела,0.4367860747108345,"Она почти не изменилась, только слегка"
прежняя,0.01996784221372104,Перед ним снова была
пригрозили,0.23275877738732076,Когда родители
противник,0.4525814772266229,"Товарищ генерал,"
раритетных,0.03489475823256936,"Считается, что коллекционирование"
ремешок,0.0060321052569860265,Под рукавом рубашки виднелся тонкий
розетки,0.20199827486090605,На вторичном рынке жилья
росли,0.35710257210656215,Телята быстро
русалки,0.006139784620977253,И на берегу озера тогда появляются
рыбу,0.015384357526422164,"Наживка, на которую он ловил"
рыть,0.10531094293423869,"Не обнаружив ничего в досье, сыщики решили"
сгущенки,0.40643981937645546,Когда мне хотелось
сечь,0.3140254703723568,"Собаку, виновницу случившегося, приказали"
снег,0.00873108829438967,Мне было лень идти на стоянку и сметать
собака,0.04450989698032764,От смерти его спасла
сора,0.4746485415039542,Он умел из любого
спать,0.19088279193904947,Он стал плохо
страшных,0.02442942365915119,Автор принадлежит к числу последних свидетелей
сытные,0.2869004479029937,"Приготовь себе диетические овощные блюда,"
трепало,0.15598569065997875,В лесу ветром
углу,0.022899511224183614,В каждом
узнал,0.06627793723735526,Володя каким-то образом
уйти,0.4229712141682541,Если мы позволим этим людям
урчала,0.4317204110337428,"Елена сидела в кресле, молодая Мурка"
ускользать,0.33103289510029305,От внимания наблюдателя не должна
установить,0.26597147583698233,Государством предлагается
ухо,0.01612105554992137,"Сделав мне знак помолчать, он приложил"
фен,0.14690888300146765,"Что используют для этой прически,"
хмурила,0.13319027858906513,Она с досадой
шаг,0.10407826992218504,Я сделала
юный,0.39022030488822756,На привале у озера
