left_context,target_word,target_lemma,p_target_human,p_target_model,n_human_target_matches,n_model_target_matches
В тот момент,атмосфера,атмосфера,0.0,0.0,0,0
Клиенты воровали из ресторана,атрибутику,атрибутику,0.0,0.0,0,0
Ему удалось вскрыть банку об острый край,бампера,бампера,0.0,0.0,0,0
У моего отца был счёт в швейцарском,банке,банке,0.9523809523809523,0.3534670148608275,1,4
Очень хочется заплести,бант,бант,0.0,0.0,0,0
В котёл бросают куски,баранины,баранины,0.0,0.0004243583929174446,0,1
На запись голоса,барса,барса,0.0,0.0,0,0
Ее сын Гриша умер,бездетным,бездетным,0.0,0.0,0,0
Можно будет,бросить,бросить,0.0,0.0,0,0
"Музыканты играли на похоронах, разгружали",вагоны,вагоны,0.3157894736842105,0.0005748433471245227,1,2
Дрозды и сковрцы начали,вить,вить,0.3333333333333333,0.0,1,0
Что может сделать самый сильный,вол,вол,0.0,0.0,0,0
Здесь потребуется,врач,врач,0.0,0.0,0,0
И не надо ставить это целью,всей,всей,0.17647058823529413,0.004264527638992888,1,2
Какие главные лекарства должны,входить,входить,0.0,0.0002866981277374575,0,2
Применение микросхемы,даст,даст,0.05263157894736842,0.0,1,0
"Выходя замуж, ты надеялась обрести спокойствие, уютный",дом,дом,0.9230769230769231,0.24309340881982158,1,3
С нескрываемой,едкой,едкой,0.0,0.0,0,0
Однако здесь,есть,есть,0.2,0.0008008814189521023,2,1
"Тому, кто",желает,желает,0.0,0.0,0,0
В качестве примера приводится,жирность,жирность,0.0,0.0,0,0
Он признаёт право каждого,жить,жить,0.0,0.016131708703856603,0,3
Вспоминая,журчание,журчание,0.0,0.0,0,0
"Он вскрыл пачку сухарей,",заварил,заварил,0.0,0.0,0,0
Но четыре года я не мог себя,заставить,заставить,0.26666666666666666,6.830905914646649e-05,1,1
На Ольгу Васильевну было написано,заявление,заявление,0.3333333333333333,0.0,1,0
Я знал: их особенно,злило,злило,0.0,0.0,0,0
Очень тогда,злые,злые,0.0,0.0,0,0
Создать настоящие шедевры вам помогут,зоркий,зоркий,0.0,0.0,0,0
Наши власти позволяют себе,излишества,излишества,0.0,0.0,0,0
У нас в Волгограде многие придерживаются,иной,иной,0.014925373134328358,0.0,1,0
Ей никак не суметь,испечь,испечь,0.0,0.0,0,0
Во избежание ожогов надо нанести на лицо небольшое,количество,количество,1.0,6.0005872000687016e-05,1,1
В вопросе послышался упрёк,командиру,командиру,0.0,0.0,0,0
"За углом ― Морской музей, с бесчисленными моделями",кораблей,кораблей,0.8970588235294118,5.43442994860336e-05,1,3
"Мне нравится сын коллеги,",который,который,0.45977011494252873,0.0005676264501603264,6,6
Душа требовала,красоты,красоты,0.0,8.085949581920001e-05,0,2
Наше правительство сделало,крен,крен,0.0196078431372549,0.0,1,0
А промывать манную,крупу,крупу,0.3125,0.002045702121904526,1,1
Каждое утро на самый верх,крыши,крыши,0.15,0.0,1,0
Убедительно просим вас разборчиво заполнять,купон,купон,0.0,0.0,0,0
На болотах оставался ещё,лед,лед,0.0,0.004636335276841414,0,1
Дорога ведет в глухой,лес,лес,0.7857142857142857,0.00011566128425386181,1,2
На ведущей вниз,лестнице,лестнице,0.0,7.884308405252638e-05,0,1
Когда она в самолёте,летела,летела,0.19230769230769232,0.0,2,0
Возможности этих перемен будут обсуждаться в Париже,летом,летом,0.0,0.0,0,0
"Там, недалеко от кухонной двери, сидел",лис,лис,0.0,0.0,0,0
"В багажнике были лопата,",лом,лом,0.016129032258064516,0.00030181251951314885,1,1
Старуха была страшной --,лопоухая,лопоухая,0.0,0.0,0,0
Врач прописал заживляющую,мазь,мазь,0.8421052631578947,0.0047178072445688305,1,1
В бассейне,микробы,микробы,0.0,0.0,0,0
В резервациях,миссионеры,миссионеры,0.0,0.0,0,0
"Мама брала меня с собой, и мы, сдав",молоко,молоко,0.0,0.0,0,0
Приблизительно в центре тайги,мопед,мопед,0.0,0.0,0,0
Не поручайте,мужу,мужу,0.0,9.934442668315154e-06,0,1
В деревнях по-прежнему,мяли,мяли,0.0,0.0,0,0
В числе возможных кандидатов,называют,называют,0.0,5.012925932057737e-06,0,1
"Твоё тело расслабляется, и исчезает",напряжение,напряжение,0.2,8.597992979854878e-05,1,1
Он был очень,неопытным,неопытным,0.0,0.0,0,0
"Они не ели целый день,",несчастные,несчастные,0.0,0.0,0,0
В речи учёного прозвучало,неявное,неявное,0.0,0.0,0,0
Тема эта в то время была,новой,новой,0.0,0.001016766509129369,0,8
"Существует легенда, что",ноев,ноев,0.0,0.0,0,0
Он ловко поддел концом,ножа,ножа,0.1044776119402985,0.0,1,0
У директора школы был тонкий,нюх,нюх,0.031914893617021274,0.0001660495900810319,1,1
У Пашки,обгорели,обгорели,0.0,0.0,0,0
В конверте вместе с деньгами была,обнаружена,обнаружена,0.0,0.0,0,0
Стала стабильнее экономическая и политическая,обстановка,обстановка,0.14285714285714285,0.00032180709785262034,1,2
В современном,обществе,обществе,0.058823529411764705,0.0005517740098563796,1,3
Педагог предъявляет,одинаковые,одинаковые,0.0,0.0,0,0
"Я сказал, что русский солдат",омоет,омоет,0.0,0.0,0,0
Старый шкаф,орехового,орехового,0.0,0.0,0,0
В сюжете этого фильма какие-то,осы,осы,0.0,0.0,0,0
Ирине досталась,отдельная,отдельная,0.0,0.0,0,0
На газовой плите стояла,открытая,открытая,0.0,0.0,0,0
"Я люблю салат из картошки с зеленью, заправленный",пахучим,пахучим,0.0,0.0,0,0
Ненужный коврик из твёрдой,пластмассы,пластмассы,0.07692307692307693,0.01840159109050995,1,8
Что ты хочешь чтобы тебе,повторили,повторили,0.0,0.0,0,0
"Журналист взял карандаш,",подвинул,подвинул,0.0,0.0,0,0
У мамы есть,подруга,подруга,0.037037037037037035,0.0,1,0
Отвернув цветастое,покрывало,покрывало,0.29411764705882354,0.0,1,0
"У тебя впереди замечательный день,",полный,полный,0.0,0.0,0,0
Этот студент,получает,получает,0.0,6.985870123888562e-06,0,1
"Она почти не изменилась, только слегка",пополнела,пополнела,0.0625,0.0,1,0
