context,mean_delta_across_values,left_context
атмосфера,0.04166704307299816,В тот момент
барса,0.18652262810049514,На запись голоса
всей,0.01008156915005785,И не надо ставить это целью
входить,0.005481823343307667,Какие главные лекарства должны
даст,0.14016098104405944,Применение микросхемы
есть,0.11302386313530281,Однако здесь
желает,0.2400090957621146,"Тому, кто"
заварил,0.22175948478293492,"Он вскрыл пачку сухарей,"
злило,0.11397932837162944,Я знал: их особенно
злые,0.1788514394738243,Очень тогда
командиру,0.017544957791684166,В вопросе послышался упрёк
крыши,0.05617476441681874,Каждое утро на самый верх
лед,0.007667756191939733,На болотах оставался ещё
летела,0.2356114751841707,Когда она в самолёте
лопоухая,0.007052610951144108,Старуха была страшной --
мопед,0.22352277479584515,Приблизительно в центре тайги
мяли,0.18049292311052864,В деревнях по-прежнему
неопытным,0.0693197947559877,Он был очень
ножа,0.004975154234413483,Он ловко поддел концом
обнаружена,0.01466475237511502,В конверте вместе с деньгами была
одинаковые,0.044482953136344074,Педагог предъявляет
повторили,0.21016035310889145,Что ты хочешь чтобы тебе
подвинул,0.04867616606469005,"Журналист взял карандаш,"
покрывало,0.18854414384541052,Отвернув цветастое
полный,0.005397929679566756,"У тебя впереди замечательный день,"
получает,0.20637626683456856,Этот студент
пополнела,0.16144086132134938,"Она почти не изменилась, только слегка"
прежняя,0.006146346714537915,Перед ним снова была
пригрозили,0.19971712377500353,Когда родители
противник,0.04162837560985053,"Товарищ генерал,"
раритетных,0.019846232254964142,"Считается, что коллекционирование"
ремешок,0.004410631087741015,Под рукавом рубашки виднелся тонкий
розетки,0.16109992123757869,На вторичном рынке жилья
росли,0.40729885700735613,Телята быстро
русалки,0.004076360865612051,И на берегу озера тогда появляются
рыбу,0.009381722140834794,"Наживка, на которую он ловил"
рыть,0.02222262496361162,"Не обнаружив ничего в досье, сыщики решили"
собака,0.006802459660383267,От смерти его спасла
спать,0.01813971776946822,Он стал плохо
трепало,0.33945597751065826,В лесу ветром
углу,0.01538383915240058,В каждом
узнал,0.29032611466681896,Володя каким-то образом
уйти,0.01666692455758986,Если мы позволим этим людям
урчала,0.2932899594568065,"Елена сидела в кресле, молодая Мурка"
ускользать,0.006800410939227219,От внимания наблюдателя не должна
ухо,0.0035833815112709076,"Сделав мне знак помолчать, он приложил"
хмурила,0.23108399497903212,Она с досадой
юный,0.07863312643637443,На привале у озера
